,Forecast_MW
2018-08-20 14:00:00,6645.339
2018-08-20 15:00:00,6675.0503
2018-08-20 16:00:00,6687.665
2018-08-20 17:00:00,6612.7437
2018-08-20 18:00:00,6560.4165
2018-08-20 19:00:00,6431.167
2018-08-20 20:00:00,6332.205
2018-08-20 21:00:00,6250.8853
2018-08-20 22:00:00,5986.9316
2018-08-20 23:00:00,5612.0435
2018-08-21 00:00:00,5211.493
2018-08-21 01:00:00,4770.1543
2018-08-21 02:00:00,4515.634
2018-08-21 03:00:00,4432.338
2018-08-21 04:00:00,4454.2563
2018-08-21 05:00:00,4565.6206
2018-08-21 06:00:00,4852.62
2018-08-21 07:00:00,5276.61
2018-08-21 08:00:00,5529.869
2018-08-21 09:00:00,5686.501
2018-08-21 10:00:00,5797.5024
2018-08-21 11:00:00,6070.239
2018-08-21 12:00:00,6267.9663
2018-08-21 13:00:00,6342.3706
2018-08-21 14:00:00,6410.2627
2018-08-21 15:00:00,6466.225
2018-08-21 16:00:00,6510.232
2018-08-21 17:00:00,6485.689
2018-08-21 18:00:00,6504.8784
2018-08-21 19:00:00,6375.8906
2018-08-21 20:00:00,6261.6123
2018-08-21 21:00:00,6239.818
2018-08-21 22:00:00,6012.896
2018-08-21 23:00:00,5659.155
2018-08-22 00:00:00,5223.4697
2018-08-22 01:00:00,4776.883
2018-08-22 02:00:00,4521.4873
2018-08-22 03:00:00,4437.111
2018-08-22 04:00:00,4463.3384
2018-08-22 05:00:00,4574.166
2018-08-22 06:00:00,4845.3804
2018-08-22 07:00:00,5271.3433
2018-08-22 08:00:00,5519.7524
2018-08-22 09:00:00,5663.5776
2018-08-22 10:00:00,5802.9404
2018-08-22 11:00:00,6088.2197
2018-08-22 12:00:00,6292.793
2018-08-22 13:00:00,6368.24
2018-08-22 14:00:00,6442.2944
2018-08-22 15:00:00,6486.1304
2018-08-22 16:00:00,6533.441
2018-08-22 17:00:00,6515.3657
2018-08-22 18:00:00,6529.2646
2018-08-22 19:00:00,6404.657
2018-08-22 20:00:00,6293.21
2018-08-22 21:00:00,6257.7803
2018-08-22 22:00:00,6037.4473
2018-08-22 23:00:00,5690.072
2018-08-23 00:00:00,5229.1753
2018-08-23 01:00:00,4772.8804
2018-08-23 02:00:00,4523.495
2018-08-23 03:00:00,4439.1187
2018-08-23 04:00:00,4465.605
2018-08-23 05:00:00,4572.797
2018-08-23 06:00:00,4845.9824
2018-08-23 07:00:00,5271.686
2018-08-23 08:00:00,5514.3027
2018-08-23 09:00:00,5658.128
2018-08-23 10:00:00,5800.585
2018-08-23 11:00:00,6081.1245
2018-08-23 12:00:00,6280.431
2018-08-23 13:00:00,6354.889
2018-08-23 14:00:00,6428.9434
2018-08-23 15:00:00,6472.7793
2018-08-23 16:00:00,6520.09
2018-08-23 17:00:00,6499.4355
2018-08-23 18:00:00,6513.78
2018-08-23 19:00:00,6389.1724
2018-08-23 20:00:00,6276.8657
2018-08-23 21:00:00,6241.436
2018-08-23 22:00:00,6033.9834
2018-08-23 23:00:00,5703.8174
2018-08-24 00:00:00,5226.867
2018-08-24 01:00:00,4782.3833
2018-08-24 02:00:00,4530.6167
2018-08-24 03:00:00,4446.24
2018-08-24 04:00:00,4472.7266
2018-08-24 05:00:00,4572.331
2018-08-24 06:00:00,4835.092
2018-08-24 07:00:00,5244.8115
2018-08-24 08:00:00,5487.428
2018-08-24 09:00:00,5634.432
2018-08-24 10:00:00,5779.099
2018-08-24 11:00:00,6057.888
2018-08-24 12:00:00,6257.195
2018-08-24 13:00:00,6330.8354
2018-08-24 14:00:00,6404.8896
2018-08-24 15:00:00,6448.7256
2018-08-24 16:00:00,6494.2314
2018-08-24 17:00:00,6463.4985
2018-08-24 18:00:00,6488.0044
2018-08-24 19:00:00,6359.9224
2018-08-24 20:00:00,6234.6143
2018-08-24 21:00:00,6186.7227
2018-08-24 22:00:00,5971.905
2018-08-24 23:00:00,5667.256
2018-08-25 00:00:00,5186.101
2018-08-25 01:00:00,4778.31
2018-08-25 02:00:00,4508.3696
2018-08-25 03:00:00,4404.629
2018-08-25 04:00:00,4414.453
2018-08-25 05:00:00,4501.6885
2018-08-25 06:00:00,4693.486
2018-08-25 07:00:00,4946.4453
2018-08-25 08:00:00,5156.1655
2018-08-25 09:00:00,5420.796
2018-08-25 10:00:00,5639.0786
2018-08-25 11:00:00,5963.621
2018-08-25 12:00:00,6195.8374
2018-08-25 13:00:00,6283.444
2018-08-25 14:00:00,6354.2827
2018-08-25 15:00:00,6398.1187
2018-08-25 16:00:00,6468.006
2018-08-25 17:00:00,6473.7817
2018-08-25 18:00:00,6547.006
2018-08-25 19:00:00,6421.059
2018-08-25 20:00:00,6305.4
2018-08-25 21:00:00,6269.97
2018-08-25 22:00:00,6079.756
2018-08-25 23:00:00,5821.505
2018-08-26 00:00:00,5287.155
2018-08-26 01:00:00,4840.8384
2018-08-26 02:00:00,4533.7544
2018-08-26 03:00:00,4416.946
2018-08-26 04:00:00,4425.875
2018-08-26 05:00:00,4486.4785
2018-08-26 06:00:00,4657.3574
2018-08-26 07:00:00,4909.5845
2018-08-26 08:00:00,5120.5386
2018-08-26 09:00:00,5398.3013
2018-08-26 10:00:00,5646.4893
2018-08-26 11:00:00,5993.8994
2018-08-26 12:00:00,6259.292
2018-08-26 13:00:00,6393.5547
2018-08-26 14:00:00,6466.302
2018-08-26 15:00:00,6511.9023
2018-08-26 16:00:00,6567.6216
